id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11658526,Villa in New Orleans · ★4.75 · 1 bedroom · 1 bed · 1 bath,41403925,Alyssa,,French Quarter,29.95667,-90.06973,Entire home/apt,154,2,128,2023-04-23,1.36,8,254,7,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
11675374,Rental unit in New Orleans · ★4.86 · 2 bedrooms · 3 beds · 1 bath,57540583,Robert,,Uptown,29.93051,-90.10415,Entire home/apt,104,30,224,2020-03-15,2.38,2,2,0,"19STR-03183, 20-ostr-2009"
11712083,Home in New Orleans · ★4.95 · 4 bedrooms · 4 beds · 3.5 baths,62263818,Martin,,West Riverside,29.91852,-90.1179,Entire home/apt,1200,30,19,2018-09-03,0.20,1,0,0,
11716739,Home in New Orleans · ★4.88 · 4 bedrooms · 4 beds · 2 baths,20288908,Jeff,,Irish Channel,29.92598,-90.08159,Entire home/apt,293,30,25,2018-05-28,0.27,1,0,0,
11718242,Guest suite in New Orleans · ★4.82 · 1 bedroom · 1 bed · 1 private bath,43777780,Robert,,St. Claude,29.96553,-90.03679,Private room,65,2,136,2020-02-29,1.47,2,0,0,"17STR-09528, 17-OSTR-0952"
11721382,Home in New Orleans · 2 bedrooms · 2 beds · 1 bath,5919294,Ned,,Freret,29.93494,-90.10795,Entire home/apt,85,30,2,2016-07-02,0.02,1,268,0,
11731771,Home in New Orleans · ★4.86 · 3 bedrooms · 4 beds · 2.5 baths,22349090,Marshall,,East Riverside,29.92245,-90.08777,Entire home/apt,500,30,14,2019-08-11,0.15,1,0,0,
11741010,Home in New Orleans · ★4.95 · 2 bedrooms · 2 beds · 3.5 baths,48008180,Janell,,St. Roch,29.97013,-90.05478,Private room,291,30,100,2019-12-09,1.14,1,0,0,19STR-12268
11759326,Home in New Orleans · 2 bedrooms · 3 beds · 1 bath,62580510,DeCarlas,,West Riverside,29.91834,-90.1113,Entire home/apt,80,30,0,,,1,276,0,
11794897,Guest suite in New Orleans · ★4.98 · 1 bedroom · 1 bed · 1 bath,51248639,Charly,,Bayou St. John,29.97658,-90.080391,Entire home/apt,123,2,170,2023-11-14,1.83,2,124,26,"20STR-00034, 19-OSTR-0000"
11798898,Home in New Orleans · ★4.74 · 2 bedrooms · 3 beds · 1 bath,55964077,Graham,,Treme - Lafitte,29.97153,-90.08047,Entire home/apt,118,30,19,2018-01-01,0.21,4,0,0,
11799511,Rental unit in New Orleans · ★4.98 · Studio · 2 beds · 1 bath,24127214,Pearce,,Seventh Ward,29.97212,-90.07083,Entire home/apt,96,3,179,2023-05-09,1.93,1,13,4,"17STR-05588, 19-OSTR-0000"
11813186,Townhouse in New Orleans · ★4.99 · 3 bedrooms · 4 beds · 2 baths,46417812,Jan,,Garden District,29.92547,-90.0859,Entire home/apt,396,30,98,2020-01-05,1.05,1,179,0,
11818527,Guesthouse in New Orleans · ★4.98 · 1 bedroom · 1 bed · 1 bath,62949355,Jess & Jonathan,,Fairgrounds,29.98299,-90.08017,Entire home/apt,100,3,136,2022-10-03,1.47,1,0,0,
11846908,Home in New Orleans · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,63003526,Devon,,Central City,29.94228379509631,-90.0841123983264,Private room,47,3,468,2023-11-24,4.99,1,73,51,"21-RSTR-01418, 20-OSTR-01830"
11851421,Rental unit in New Orleans · ★4.65 · 1 bedroom · 1 bed · 1 bath,4981655,Jim,,St. Thomas Dev,29.93187,-90.07294,Entire home/apt,50,2,318,2023-11-11,3.51,14,0,42,"22cstr-09729, 20ostr-01286"
11851428,Guesthouse in New Orleans · ★4.76 · 3 bedrooms · 5 beds · 1 shared bath,63164742,Vera,,Fairgrounds,29.97745,-90.07742,Private room,150,30,25,2020-01-14,0.27,1,365,0,
11867467,Home in New Orleans · ★4.67 · 2 bedrooms · 4 beds · 2 baths,45458985,Wright Houses,,Algiers Point,29.94961,-90.05161,Entire home/apt,120,2,252,2023-11-19,2.72,3,52,31,"17STR-09322, 20-OSTR-30877"
